2023-03-18 06:31:48,990 INFO    MainThread:27526 [wandb_setup.py:_flush():76] Configure stats pid to 27526
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_setup.py:_flush():76] Loading settings from /home2/debashish.roy/.config/wandb/settings
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_setup.py:_flush():76] Loading settings from /ssd_scratch/cvit/debashish/CondensedMovies/wandb/settings
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_init.py:_log_setup():506] Logging user logs to /ssd_scratch/cvit/debashish/CondensedMovies/wandb/run-20230318_063148-gk1t6j0s/logs/debug.log
2023-03-18 06:31:48,991 INFO    MainThread:27526 [wandb_init.py:_log_setup():507] Logging internal logs to /ssd_scratch/cvit/debashish/CondensedMovies/wandb/run-20230318_063148-gk1t6j0s/logs/debug-internal.log
2023-03-18 06:31:48,992 INFO    MainThread:27526 [wandb_init.py:init():546] calling init triggers
2023-03-18 06:31:48,992 INFO    MainThread:27526 [wandb_init.py:init():553] wandb.init called with sweep_config: {}
config: {}
2023-03-18 06:31:48,992 INFO    MainThread:27526 [wandb_init.py:init():602] starting backend
2023-03-18 06:31:48,992 INFO    MainThread:27526 [wandb_init.py:init():606] setting up manager
2023-03-18 06:31:48,995 INFO    MainThread:27526 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-18 06:31:48,998 INFO    MainThread:27526 [wandb_init.py:init():613] backend started and connected
2023-03-18 06:31:49,000 INFO    MainThread:27526 [wandb_init.py:init():701] updated telemetry
2023-03-18 06:31:49,021 INFO    MainThread:27526 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-18 06:31:49,808 INFO    MainThread:27526 [wandb_run.py:_on_init():2133] communicating current version
2023-03-18 06:31:49,933 INFO    MainThread:27526 [wandb_run.py:_on_init():2142] got version response 
2023-03-18 06:31:49,933 INFO    MainThread:27526 [wandb_init.py:init():789] starting run threads in backend
2023-03-18 06:31:55,417 INFO    MainThread:27526 [wandb_run.py:_console_start():2114] atexit reg
2023-03-18 06:31:55,417 INFO    MainThread:27526 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-18 06:31:55,417 INFO    MainThread:27526 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-18 06:31:55,418 INFO    MainThread:27526 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-18 06:31:55,418 INFO    MainThread:27526 [wandb_init.py:init():831] run started, returning control to user process
2023-03-18 06:32:04,820 WARNING MsgRouterThr:27526 [router.py:message_loop():77] message_loop has been closed
